CellType	DrugType	Replicate	Count	SubType	ExperimentDate	
KAS9	DMSO	1	2909	Mef2d.Hnrnpul1	Feb22nd	
KAS9	DMSO	2	2778	Mef2d.Hnrnpul1	Feb22nd	
KAS9	DMSO	3	3351	Mef2d.Hnrnpul1	Feb22nd	
KAS9	100nM Bryostatin-1	1	112	Mef2d.Hnrnpul1	Feb22nd	
KAS9	100nM Bryostatin-1	2	190	Mef2d.Hnrnpul1	Feb22nd	
KAS9	100nM Bryostatin-1	3	115	Mef2d.Hnrnpul1	Feb22nd	
KAS9	25nM PMA	1	194	Mef2d.Hnrnpul1	Feb22nd	
KAS9	25nM PMA	2	146	Mef2d.Hnrnpul1	Feb22nd	
KAS9	25nM PMA	3	155	Mef2d.Hnrnpul1	Feb22nd	
KAS9	DMSO	1	2524	Mef2d.Hnrnpul1	Feb26th	
KAS9	DMSO	2	2587	Mef2d.Hnrnpul1	Feb26th	
KAS9	DMSO	3	1909	Mef2d.Hnrnpul1	Feb26th	
KAS9	100nM Bryostatin-1	1	1069	Mef2d.Hnrnpul1	Feb26th	
KAS9	100nM Bryostatin-1	2	807	Mef2d.Hnrnpul1	Feb26th	
KAS9	100nM Bryostatin-1	3	768	Mef2d.Hnrnpul1	Feb26th	
KAS9	25nM PMA	1	598	Mef2d.Hnrnpul1	Feb26th	
KAS9	25nM PMA	2	621	Mef2d.Hnrnpul1	Feb26th	
KAS9	25nM PMA	3	692	Mef2d.Hnrnpul1	Feb26th	
P30-OKHUBO	DMSO	1	4048	Mef2d.Hnrnpul1	Feb26th	
P30-OKHUBO	DMSO	2	4002	Mef2d.Hnrnpul1	Feb26th	
P30-OKHUBO	DMSO	3	4237	Mef2d.Hnrnpul1	Feb26th	
P30-OKHUBO	100nM Bryostatin-1	1	1012	Mef2d.Hnrnpul1	Feb26th	
P30-OKHUBO	100nM Bryostatin-1	2	1025	Mef2d.Hnrnpul1	Feb26th	
P30-OKHUBO	100nM Bryostatin-1	3	995	Mef2d.Hnrnpul1	Feb26th	
P30-OKHUBO	25nM PMA	1	402	Mef2d.Hnrnpul1	Feb26th	
P30-OKHUBO	25nM PMA	2	432	Mef2d.Hnrnpul1	Feb26th	
P30-OKHUBO	25nM PMA	3	341	Mef2d.Hnrnpul1	Feb26th	
LC41	DMSO	1	1624	Mef2d.Hnrnpul1	Feb26th	
LC41	DMSO	2	1588	Mef2d.Hnrnpul1	Feb26th	
