CellType	DrugType	Replicate	Count	SubType	ExperimentDate
KAS9	DMSO	1	2909	Mef2d.Hnrnpul1	Feb22nd
KAS9	DMSO	2	2778	Mef2d.Hnrnpul1	Feb22nd
KAS9	DMSO	3	3351	Mef2d.Hnrnpul1	Feb22nd
KAS9	100nM Bryostatin-1	1	112	Mef2d.Hnrnpul1	Feb22nd
KAS9	100nM Bryostatin-1	2	190	Mef2d.Hnrnpul1	Feb22nd
KAS9	100nM Bryostatin-1	3	115	Mef2d.Hnrnpul1	Feb22nd
KAS9	100nM Bryostatin-1, 1uM Tramatenib	1	1522	Mef2d.Hnrnpul1	Feb22nd
KAS9	100nM Bryostatin-1, 1uM Tramatenib	2	1828	Mef2d.Hnrnpul1	Feb22nd
KAS9	100nM Bryostatin-1, 1uM Tramatenib	3	1522	Mef2d.Hnrnpul1	Feb22nd
KAS9	100nM Bryostatin-1, 1uM UO126	1	3270	Mef2d.Hnrnpul1	Feb22nd
KAS9	100nM Bryostatin-1, 1uM UO126	2	3356	Mef2d.Hnrnpul1	Feb22nd
KAS9	100nM Bryostatin-1, 1uM UO126	3	3186	Mef2d.Hnrnpul1	Feb22nd
KAS9	25nM PMA	1	194	Mef2d.Hnrnpul1	Feb22nd
KAS9	25nM PMA	2	146	Mef2d.Hnrnpul1	Feb22nd
KAS9	25nM PMA	3	155	Mef2d.Hnrnpul1	Feb22nd
KAS9	25nM PMA, 1uM Tramatenib	1	702	Mef2d.Hnrnpul1	Feb22nd
KAS9	25nM PMA, 1uM Tramatenib	2	1180	Mef2d.Hnrnpul1	Feb22nd
KAS9	25nM PMA, 1uM Tramatenib	3	1081	Mef2d.Hnrnpul1	Feb22nd
KAS9	25nM PMA, 1uM UO126	1	1554	Mef2d.Hnrnpul1	Feb22nd
KAS9	25nM PMA, 1uM UO126	2	1697	Mef2d.Hnrnpul1	Feb22nd
KAS9	25nM PMA, 1uM UO126	3	1779	Mef2d.Hnrnpul1	Feb22nd
KAS9	DMSO	1	2524	Mef2d.Hnrnpul1	Feb26th
KAS9	DMSO	2	2587	Mef2d.Hnrnpul1	Feb26th
KAS9	DMSO	3	1909	Mef2d.Hnrnpul1	Feb26th
KAS9	100nM Bryostatin-1	1	1069	Mef2d.Hnrnpul1	Feb26th
KAS9	100nM Bryostatin-1	2	807	Mef2d.Hnrnpul1	Feb26th
KAS9	100nM Bryostatin-1	3	768	Mef2d.Hnrnpul1	Feb26th
