gene	pearson_corr	pearson_pvalue	pearson_FDR	spearman_corr	spearman_pvalue	spearman_FDR	mean_RNA	mean_protein	sd_RNA	sd_protein	number_of_samples
A2M	0.4713	8.458e-05	0.000135	0.6253	3.325e-08	8.94e-08	3.35	0.3	9.92	0.78	64
A2ML1	0.027	0.9052	0.914	0.2072	0.3549	0.383	0.02	0.37	0.04	0.7	22
AAAS	0.0236	0.8531	0.865	0.0728	0.5675	0.594	57.7	0.06	14.77	0.16	64
AACS	0.929	1.87e-28	5.02e-25	0.9315	6.476e-29	7.57e-27	6.12	-0.59	3.22	0.64	64
AADACL4	0.3251	0.05299	0.0622	0.1356	0.4304	0.458	0.41	0.16	1.46	0.31	36
AADAT	0.4073	0.003329	0.00441	0.7668	8.466e-11	3.22e-10	4.6	-0.32	9.13	1.07	50
AAGAB	0.5515	2.328e-06	4.5e-06	0.5153	1.316e-05	2.5e-05	62.49	-0.19	20.35	0.28	64
AAK1	0.7119	4.258e-11	1.65e-10	0.7495	1.039e-12	5.15e-12	15.22	0.16	12.78	0.44	64
AAMDC	0.5683	9.639e-07	1.96e-06	0.4914	3.73e-05	6.65e-05	12.87	0.27	3.55	0.34	64
AAMP	0.5499	2.522e-06	4.85e-06	0.4392	0.0002827	0.00045	84.6	0.01	18.84	0.24	64
AAR2	0.6902	2.793e-10	9.38e-10	0.6625	2.481e-09	7.83e-09	42.22	-0.05	10.82	0.28	64
AARS2	0.5203	1.051e-05	1.87e-05	0.362	0.003285	0.00455	41.07	0.12	8.19	0.22	64
AARSD1	0.0401	0.7531	0.771	0.0296	0.8165	0.832	3.17	0.09	1.32	0.39	64
AASDH	0.3934	0.001302	0.0018	0.419	0.0005699	0.000872	27.01	-0.05	7.92	0.4	64
AASDHPPT	0.649	6.631e-09	1.84e-08	0.6865	3.804e-10	1.34e-09	52.17	0.01	17.34	0.24	64
AASS	0.891	6.152e-23	4.86e-21	0.9262	5.825e-28	5.13e-26	29.65	-0.09	32.85	0.91	64
AATF	0.2225	0.07725	0.0892	0.1079	0.396	0.424	61.91	-0.06	18.08	0.21	64
ABAT	0.8114	4.282e-16	4.18e-15	0.8322	1.581e-17	1.48e-16	5.64	0.04	3.17	0.58	64
ABCA12	0.0906	0.64	0.662	0.2448	0.2007	0.223	0.06	0.32	0.18	0.75	29
ABCA13	0.1748	0.425	0.452	-0.1337	0.543	0.57	0.12	0.05	0.27	0.24	23
ABCA2	0.7544	6.138e-13	3.23e-12	0.8143	2.779e-16	2.18e-15	10.14	0.13	7.9	0.47	64
ABCA3	0.8923	1.792e-10	6.23e-10	0.81	1.772e-07	4.35e-07	4.12	0.07	5.25	0.9	28
ABCA7	0.5552	1.924e-06	3.75e-06	0.4381	0.000294	0.000467	10.1	-0.07	11.89	0.48	64
ABCB1	0.6618	1.24e-07	2.85e-07	0.1816	0.2021	0.225	5.6	-0.33	24.58	0.84	51
ABCB10	0.5253	8.337e-06	1.5e-05	0.5936	2.34e-07	5.64e-07	79.04	0.05	35.6	0.43	64
ABCB6	0.5557	1.871e-06	3.66e-06	0.5232	9.191e-06	1.78e-05	1.4	-0.14	0.69	0.82	64
ABCB7	0.404	0.0009317	0.00131	0.4885	4.219e-05	7.47e-05	36.49	0.07	11.94	0.24	64
ABCB8	0.341	0.005831	0.00753	0.2273	0.07089	0.0835	8.92	0.02	3.62	0.27	64
ABCB9	0.6782	6.767e-09	1.87e-08	0.6985	1.528e-09	4.96e-09	2.57	0.46	1.65	0.63	57
ABCC1	0.5809	4.854e-07	1.03e-06	0.5406	3.999e-06	8.13e-06	50.27	0.1	19.75	0.31	64
ABCC10	0.6821	5.412e-10	1.73e-09	0.5725	7.709e-07	1.73e-06	10.06	-0.16	4.95	0.52	64
ABCC3	0.0865	0.4969	0.524	-0.1881	0.1366	0.155	0.02	0.03	0.15	0.62	64
ABCC4	0.8449	1.697e-18	3.04e-17	0.881	8.111e-22	1.63e-20	15.86	-0.26	11.21	0.64	64
ABCC5	0.5829	4.323e-07	9.2e-07	0.6488	6.716e-09	1.99e-08	22.9	-0.12	20.2	0.39	64
ABCD1	0.6676	1.686e-09	5.02e-09	0.6719	1.216e-09	4e-09	5.82	0.15	5.47	0.52	64
ABCD2	0.8892	5.599e-20	1.6e-18	0.8427	3.865e-16	2.95e-15	2.4	-0.44	2.79	0.62	56
ABCD3	0.7615	2.77e-13	1.57e-12	0.68	6.434e-10	2.2e-09	44.07	-0.12	17.23	0.33	64
ABCD4	0.5115	1.561e-05	2.71e-05	0.2412	0.05485	0.0655	23.42	-0.05	12.06	0.38	64
ABCE1	0.7085	5.795e-11	2.19e-10	0.694	2.03e-10	7.38e-10	157.36	-0.08	61.8	0.25	64
ABCF1	0.5053	2.059e-05	3.52e-05	0.4627	0.0001184	0.000198	84.02	-0.02	18.7	0.21	64
ABCF2	0.6067	1.073e-07	2.49e-07	0.5859	3.665e-07	8.6e-07	20.56	-0.2	6.77	0.3	64
ABCF3	0.3898	0.001452	0.00199	0.3082	0.01323	0.0171	22.96	-0.02	5.09	0.19	64
ABCG1	0.8145	6.255e-13	3.29e-12	0.7302	1.762e-09	5.67e-09	12.11	-0.6	18.14	0.75	50
ABCG2	0.883	2.207e-15	1.86e-14	0.8716	1.383e-14	8.67e-14	5.08	-0.12	5.25	0.91	44
ABHD10	0.5868	3.467e-07	7.49e-07	0.4712	8.5e-05	0.000145	64.82	0.2	21.88	0.42	64
ABHD11	0.6628	2.42e-09	7.07e-09	0.671	1.305e-09	4.27e-09	9.49	0.02	4.9	0.36	64
