pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
GLYCOLYSIS_GLUCONEOGENESIS	0.00498	0.0215	0.507	1.62	0	37	ALDH3A2|HK1|ENO2|GPI|ALDH7A1|PFKM|GALM|ACSS1|ALDOC|PFKL|ALDH1B1|ACSS2|LDHA|HK2|PGM1|PGK1|ENO1|ALDH2|FBP1|AKR1A1|PCK2|PFKP|PGAM1|GAPDH|TPI1|PGM2|LDHB
GLYCEROLIPID_METABOLISM	0.00498	0.0215	0.482	1.5	0	27	DGKA|ALDH3A2|AGPAT3|ALDH7A1|DGKH|MBOAT2|DGKD|AGPAT4|PLPP1|AGK|ALDH1B1|AKR1B1|AGPAT2|DGKE|ALDH2|TKFC|AKR1A1
INOSITOL_PHOSPHATE_METABOLISM	0.00498	0.0215	0.499	1.64	0	45	SYNJ2|PLCB1|PIP4K2A|PIP4K2C|PLCG2|INPP5A|PLCG1|IMPA2|INPP4A|ITPKB|MINPP1|INPP1|PIK3C2B|PIK3CD|PLCD1|INPP5K|OCRL|SYNJ1|PIK3CG|ISYNA1|PLCB2|INPPL1|PIKFYVE|ITPKA|INPP5B|PLCB3|ALDH6A1|PIP4K2B|ITPK1|PTEN|PIK3C3|TPI1
MAPK_SIGNALING_PATHWAY	0.00498	0.0215	0.381	1.39	0	146	PRKCB|PRKCA|RRAS2|PTPN7|MAPKAPK3|MAPK12|RASGRP2|DUSP6|ARRB1|PPP3CA|FLNB|HSPA2|PPP3CC|RASGRP1|NFKB1|MAP3K1|MAPKAPK2|RASA2|DUSP1|MAP3K20|MEF2C|MAP2K6|NFATC4|AKT3|MAPK13|PRKACB|RPS6KA3|PDGFRB|FGFR1|RAC2|RPS6KA5|MAP2K1|PPM1A|FAS|DUSP3|STK4|MAPK11|MAP4K2|TGFBR2|RELB|FLNA|RRAS|STMN1|ARRB2|MAP2K3|MAP4K1|TNFRSF1A|RASA1|TGFBR1|RPS6KA1|GNA12|PRKACA|MAP3K3|ELK4|CRK|RPS6KA4|GNG12|MAPT|NFKB2|RAC3|DUSP7|JUND|MAPK7|RAPGEF2|PAK1|TAOK3|MAX|MAP3K5|MAPK3|NFATC2|CHUK|CASP3|HSPB1|MAPK9|MKNK1|PRKX|ATF2|NLK|RAP1A|MAP2K4|CDC25B|MAP3K2|DAXX|MAP3K8|RAP1B|GRB2|BRAF|SOS2|MYC|MAP4K4|MKNK2|ELK1|PAK2|PPP5C|MAPK8|HSPA8|CRKL|TGFB1|ECSIT|STK3|MAPK1|MAP4K3|PPM1B|SOS1|IKBKB|MAP2K2|PPP3CB
CALCIUM_SIGNALING_PATHWAY	0.00498	0.0215	0.593	2.02	0	60	PRKCB|PRKCA|PLCB1|CAMK2D|MYLK|GNAQ|PPP3CA|SLC8A1|PPP3CC|PLCG2|GNA15|PLCG1|SLC25A4|PTK2B|ADCY7|ITPKB|CAMK4|CD38|PRKACB|ITPR2|ATP2A3|PDGFRB|ATP2B1|ADCY9|ITPR1|ATP2B4|GNA11|PLCD1|BST1|PLCB2|PPID|PRKACA|P2RX7|ADCY3|ITPKA
CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.00498	0.0215	0.605	1.92	0	32	IL7R|IL1RAP|CD70|IL6ST|TNFRSF10B|BMPR1A|CD27|IL17RA|FLT1|CXCR4|BMPR2|PDGFRB|TNFRSF13C|FAS|IL2RG|TGFBR2|TNFRSF8|PLEKHO2|TNFRSF1A|ACVR1B|TGFBR1|TNFRSF1B|IFNGR1|ACVR1
CHEMOKINE_SIGNALING_PATHWAY	0.00498	0.0215	0.432	1.53	0	102	PRKCB|PLCB1|VAV2|PXN|STAT3|GNG7|RASGRP2|ARRB1|GRK3|GNG2|FOXO3|NFKB1|PTK2B|ADCY6|TIAM1|GRK5|ADCY7|VAV3|STAT5B|AKT3|VAV1|PRKACB|PTK2|GNB4|CXCR4|PREX1|LYN|PRKCD|ADCY9|PIK3R5|RAC2|GRK2|MAP2K1|PIK3CD|GNAI1|DOCK2|PIK3CG|GSK3B|PLCB2|JAK2|ELMO1|ARRB2|CSK|PRKACA|CRK|GNG12|ADCY3|ROCK2|NCF1|PAK1|STAT2|PLCB3|MAPK3|NFKBIA|CHUK|PRKCZ|PARD3|SHC1|PRKX
PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.00498	0.0215	0.513	1.75	0	57	PRKCB|PRKCA|SYNJ2|PLCB1|PIP4K2A|PIP4K2C|DGKA|PLCG2|INPP5A|PLCG1|INPP5D|IMPA2|INPP4A|ITPKB|INPP1|CDS2|ITPR2|PIK3C2B|DGKH|PIK3R5|ITPR1|DGKD|PIK3CD|PLCD1|INPP5K|OCRL|SYNJ1|PIK3CG|PLCB2|INPPL1|PIKFYVE|ITPKA|DGKE|INPP5B|PLCB3|PIP4K2B
P53_SIGNALING_PATHWAY	0.00498	0.0215	0.438	1.47	0	50	ZMAT3|TP53I3|TNFRSF10B|CD82|MDM2|SESN3|FAS|DDB2|APAF1|SESN1|CDK6|CDKN1A|CCNB1|CCNB2|BBC3|CDK2|CASP9|STEAP3|BID|GTSE1|RRM2|CDK1|CCNE2|CASP3|BAX|RRM2B|SESN2|PTEN|CASP8|CHEK2|CDK4|CHEK1
ENDOCYTOSIS	0.00498	0.0215	0.377	1.37	0	137	SH3KBP1|PSD4|SRC|ARRB1|EHD4|GRK3|HSPA2|ASAP2|PSD3|RAB11FIP1|LDLRAP1|RAB4A|RAB11FIP5|DAB2|STAM|GRK5|DNAJC6|NEDD4L|ACAP1|ARAP2|SMAP1|FLT1|NEDD4|CXCR4|ARFGAP3|MDM2|GRK2|HLA-F|RBSN|RAB11FIP4|IL2RG|CHMP1B|AGAP2|IQSEC2|TFRC|VPS37B|EHD3|HLA-B|RAB5A|GIT2|VPS45|PARD6G|IQSEC1|EPS15|ARRB2|EHD1|DNM1|PIKFYVE|RUFY1|ACAP2|CHMP4B|DNM2|IGF1R|EEA1|CHMP6|RAB22A|ASAP1|CBLB|MVB12B|PIP4K2B|AGAP1|VPS4B|PARD6B|CHMP5|PRKCZ|ARFGAP2|PARD3|SMAP2|VPS37C
