	FIMM.ID	DRUG.NAME	Mechanism.Targets	Putative.Target.Protein	Class.explained	High.phase.Approval.status	Res_code	Alias	Activity.modifier	Active_inactive.in.clinic	Solvent	High.conc.(nM)	InChI	ChEMBL.ID	Drug_class
FIMM000060...Pilocarpine	FIMM000060	Pilocarpine	Non-selective muscarinic receptor agonist	CHRM1;CHRM3;CHRM2;CHRM4	X.Other	Approved	NA	NA	NA	NA	DMSO	40000	QCHFTSOMWOSFHM-WPRPVWTQSA-N	CHEMBL550,CHEMBL611494,CHEMBL1200330,CHEMBL1213136,CHEMBL2139597	Other
FIMM000143...Lovastatin	FIMM000143	Lovastatin	HMG-CoA reductase inhibitor	HMGCR	H.Metabolic modifier	approved (non-oncology)	MK-803	NA	NA	NA	DMSO	10000	PCZOHLXUXFIOCF-BXMDZJJMSA-N	CHEMBL503	Metabolic modifier
FIMM000160...Gefitinib	FIMM000160	Gefitinib	EGFR inhibitor	EGFR	B.Kinase inhibitor	Approved	ZD-1839	NA	NA	NA	DMSO	10000	XGALLCVXEZPNRQ-UHFFFAOYSA-N	CHEMBL939	Kinase inhibitor
FIMM000170...Metformin	FIMM000170	Metformin	AMPK activator	PRKAA1	H.Metabolic modifier	Approved (non-oncology)	NA	NA	NA	NA	AQ	100000	XZWYZXLIPXDOLR-UHFFFAOYSA-N	CHEMBL1431	Metabolic modifier
FIMM000171...Anagrelide	FIMM000171	Anagrelide	PDE-3, PLA2 inhibitor	PDE3A	X.Other	Approved	NA	NA	NA	NA	DMSO	10000	OTBXOEAOVRKTNQ-UHFFFAOYSA-N	CHEMBL1200759,CHEMBL760	Other
FIMM000172...Imatinib	FIMM000172	Imatinib	ABL, Kit, PDGFRB inhibitor	ABL1	B.Kinase inhibitor	Approved	STI571	NA	NA	NA	DMSO	10000	KTUFNOKKBVMGRW-UHFFFAOYSA-N	CHEMBL1642,CHEMBL941	Kinase inhibitor
FIMM000173...Idarubicin	FIMM000173	Idarubicin	Topoisomerase II inhibitor	TOP2A;TOP2B	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	1000	XDXDZDZNSLXDNA-TZNDIEGXSA-N	CHEMBL1117,CHEMBL1200976	Conv.Chemo
FIMM000176...Vatalanib	FIMM000176	Vatalanib	VEGFR-1 and -2 inhibitor	KDR;FLT1	B.Kinase inhibitor	Investigational (Ph 3)	CGP-79787	PTK 787, ZK222584	NA	Inactive	DMSO	10000	YCOYDOIWSSHVCK-UHFFFAOYSA-N	CHEMBL101253,CHEMBL2142861,CHEMBL75232	Kinase inhibitor
FIMM000183...Erlotinib	FIMM000183	Erlotinib	EGFR inhibitor	EGFR	B.Kinase inhibitor	Approved	CP-358774	OSI-774	NA	NA	DMSO	10000	AAKJLRGGTJKAMG-UHFFFAOYSA-N	CHEMBL1079742,CHEMBL553	Kinase inhibitor
FIMM000208...Miltefosine	FIMM000208	Miltefosine	Antimicrobial, inhibits PI3K and AKT	PIK3CA;PIK3CB;PIK3CD;PIK3CG;AKT1;AKT2;AKT3	X.Other	Approved	D-18506	HDPC	NA	NA	AQ	100000	PQLXHQMOHUQAKB-UHFFFAOYSA-N	NA	Other
