SYMBOL	interaction	target	Neighbourhood
ABCA13	pp	C1	Cytosol
ABR	pp	C1	Cytosol
ACACA	pp	C1	Cytosol
ACTB	pp	C1	Cytosol
ACTR1B	pp	C1	Cytosol
ACTR2	pp	C1	Cytosol
ACYP2	pp	C1	Cytosol
ADRM1	pp	C1	Cytosol
AGL	pp	C1	Cytosol
AGT	pp	C1	Cytosol
AGTPBP1	pp	C1	Cytosol
AKAP10	pp	C1	Cytosol
AKT1S1	pp	C1	Cytosol
ALB	pp	C1	Cytosol
ALDH9A1	pp	C1	Cytosol
ALOX12	pp	C1	Cytosol
ALOX15	pp	C1	Cytosol
ALS2	pp	C1	Cytosol
AMN1	pp	C1	Cytosol
ANAPC13	pp	C1	Cytosol
ANAPC5	pp	C1	Cytosol
ANKMY2	pp	C1	Cytosol
ANKRD13A	pp	C1	Cytosol
ANKRD28	pp	C1	Cytosol
ANKRD44	pp	C1	Cytosol
AP1B1	pp	C1	Cytosol
AP1M1	pp	C1	Cytosol
AP1M2	pp	C1	Cytosol
AP1S1	pp	C1	Cytosol
AP1S2	pp	C1	Cytosol
AP3B1	pp	C1	Cytosol
AP3D1	pp	C1	Cytosol
AP3M1	pp	C1	Cytosol
AP4B1	pp	C1	Cytosol
AP4E1	pp	C1	Cytosol
AP4M1	pp	C1	Cytosol
AP4S1	pp	C1	Cytosol
APEH	pp	C1	Cytosol
APOA1BP	pp	C1	Cytosol
APPL1	pp	C1	Cytosol
ARAF	pp	C1	Cytosol
ARAP3	pp	C1	Cytosol
ARF4	pp	C1	Cytosol
ARFGEF2	pp	C1	Cytosol
ARFIP1	pp	C1	Cytosol
ARHGAP1	pp	C1	Cytosol
ARHGAP24	pp	C1	Cytosol
ARHGEF18	pp	C1	Cytosol
ARL6	pp	C1	Cytosol
ARMC2	pp	C1	Cytosol
ARMCX5	pp	C1	Cytosol
ARPC2	pp	C1	Cytosol
ASAP1	pp	C1	Cytosol
ASAP2	pp	C1	Cytosol
ASB9	pp	C1	Cytosol
ASCC1	pp	C1	Cytosol
ASNA1	pp	C1	Cytosol
ATG2A	pp	C1	Cytosol
ATP6V1A	pp	C1	Cytosol
ATP6V1B1	pp	C1	Cytosol
ATP6V1B2	pp	C1	Cytosol
ATP6V1C1	pp	C1	Cytosol
ATP6V1D	pp	C1	Cytosol
ATP6V1E1	pp	C1	Cytosol
ATP6V1H	pp	C1	Cytosol
ATXN10	pp	C1	Cytosol
AVEN	pp	C1	Cytosol
AVL9	pp	C1	Cytosol
AZIN1	pp	C1	Cytosol
BAIAP3	pp	C1	Cytosol
BAX	pp	C1	Cytosol
BBS2	pp	C1	Cytosol
BBS7	pp	C1	Cytosol
BBS9	pp	C1	Cytosol
BCAR3	pp	C1	Cytosol
BDNF	pp	C1	Cytosol
BIK	pp	C1	Cytosol
BIRC6	pp	C1	Cytosol
BTBD11	pp	C1	Cytosol
C11orf74	pp	C1	Cytosol
C12orf60	pp	C1	Cytosol
C19orf54	pp	C1	Cytosol
C19orf66	pp	C1	Cytosol
C1orf109	pp	C1	Cytosol
C22orf29	pp	C1	Cytosol
C7	pp	C1	Cytosol
C7orf60	pp	C1	Cytosol
C9orf72	pp	C1	Cytosol
C9orf84	pp	C1	Cytosol
CAD	pp	C1	Cytosol
CAMK2G	pp	C1	Cytosol
CAMK2N2	pp	C1	Cytosol
CAMKMT	pp	C1	Cytosol
CARD17	pp	C1	Cytosol
CCT2	pp	C1	Cytosol
CCT3	pp	C1	Cytosol
CCT4	pp	C1	Cytosol
CCT5	pp	C1	Cytosol
CCT6A	pp	C1	Cytosol
CCT6B	pp	C1	Cytosol
CCT7	pp	C1	Cytosol
CCT8	pp	C1	Cytosol
CDC14A	pp	C1	Cytosol
CDC42EP5	pp	C1	Cytosol
CEP44	pp	C1	Cytosol
CINP	pp	C1	Cytosol
CLASP2	pp	C1	Cytosol
CMIP	pp	C1	Cytosol
CNGA1	pp	C1	Cytosol
CNKSR1	pp	C1	Cytosol
COASY	pp	C1	Cytosol
COG4	pp	C1	Cytosol
COG8	pp	C1	Cytosol
COPE	pp	C1	Cytosol
CORO7	pp	C1	Cytosol
CTIF	pp	C1	Cytosol
CUL7	pp	C1	Cytosol
