name	TF
TFAP2A	yes
TFAP2B	yes
TFAP2C	yes
TFAP2D	yes
TFAP2E	yes
ARID3A	yes
ARID3B	yes
ARID3C	yes
ARID5A	yes
ARID5B	yes
KDM5B	yes
ARID2	yes
AHCTF1	yes
AHDC1	yes
AKNA	yes
ASH1L	yes
CBX2	yes
DNTTIP1	yes
DOT1L	yes
GLYR1	yes
HMGA1	yes
HMGA2	yes
PHF20	yes
PHF21A	yes
PRR12	yes
SCML4	yes
SETBP1	yes
SRCAP	yes
C11orf95	yes
FAM200B	yes
SGSM2	yes
ZBED1	yes
ZBED2	yes
ZBED3	yes
ZBED4	yes
ZBED5	yes
ZBED6	yes
ZBED9	yes
AHR	yes
AHRR	yes
ARNT	yes
ARNT2	yes
ARNTL	yes
ARNTL2	yes
ASCL1	yes
ASCL2	yes
ASCL3	yes
ASCL4	yes
ASCL5	yes
ATOH1	yes
ATOH7	yes
ATOH8	yes
BHLHA15	yes
BHLHA9	yes
BHLHE22	yes
BHLHE23	yes
BHLHE40	yes
BHLHE41	yes
CCDC169-SOHLH2	yes
CLOCK	yes
EPAS1	yes
FERD3L	yes
FIGLA	yes
HAND1	yes
HAND2	yes
HELT	yes
HES1	yes
HES2	yes
HES3	yes
HES4	yes
HES5	yes
HES6	yes
HES7	yes
HEY1	yes
HEY2	yes
HEYL	yes
HIF1A	yes
HIF3A	yes
LYL1	yes
MAX	yes
MESP1	yes
MESP2	yes
MITF	yes
MLX	yes
MLXIP	yes
MLXIPL	yes
MNT	yes
MSC	yes
MSGN1	yes
MXD1	yes
MXD3	yes
MXD4	yes
MXI1	yes
MYC	yes
MYCL	yes
MYCN	yes
MYF5	yes
MYF6	yes
MYOD1	yes
MYOG	yes
NCOA1	yes
NCOA2	yes
NCOA3	yes
NEUROD1	yes
NEUROD2	yes
NEUROD4	yes
NEUROD6	yes
NEUROG1	yes
NEUROG2	yes
NEUROG3	yes
NHLH1	yes
NHLH2	yes
NPAS1	yes
NPAS2	yes
NPAS3	yes
NPAS4	yes
OLIG1	yes
OLIG2	yes
OLIG3	yes
PTF1A	yes
SCX	yes
SIM1	yes
SIM2	yes
SOHLH1	yes
SOHLH2	yes
SREBF1	yes
SREBF2	yes
TAL1	yes
TAL2	yes
TCF12	yes
TCF15	yes
TCF21	yes
TCF23	yes
TCF24	yes
TCF3	yes
TCF4	yes
TCFL5	yes
TFAP4	yes
TFE3	yes
TFEB	yes
TFEC	yes
TWIST1	yes
TWIST2	yes
USF1	yes
USF2	yes
USF3	yes
POGK	yes
AC023509.3	yes
ATF1	yes
ATF2	yes
ATF3	yes
ATF4	yes
ATF5	yes
ATF6	yes
ATF6B	yes
ATF7	yes
BACH1	yes
BACH2	yes
BATF	yes
BATF2	yes
BATF3	yes
CEBPA	yes
CEBPB	yes
CEBPD	yes
CEBPE	yes
CEBPG	yes
CREB1	yes
CREB3	yes
CREB3L1	yes
CREB3L2	yes
CREB3L3	yes
CREB3L4	yes
CREB5	yes
CREBL2	yes
CREBZF	yes
CREM	yes
DBP	yes
DDIT3	yes
FOS	yes
FOSB	yes
FOSL1	yes
FOSL2	yes
HLF	yes
JDP2	yes
JUN	yes
JUNB	yes
JUND	yes
MAF	yes
MAFA	yes
MAFB	yes
MAFF	yes
MAFG	yes
MAFK	yes
NFE2	yes
NFE2L1	yes
NFE2L2	yes
NFE2L3	yes
NFIL3	yes
NRL	yes
TEF	yes
XBP1	yes
AC008770.3	yes
AC092835.1	yes
AC138696.1	yes
AEBP2	yes
AKAP8	yes
AKAP8L	yes
ANKZF1	yes
ATMIN	yes
BCL11A	yes
BCL11B	yes
BCL6	yes
BCL6B	yes
BNC1	yes
BNC2	yes
CASZ1	yes
CCDC17	yes
CHAMP1	yes
CPXCR1	yes
CTCF	yes
CTCFL	yes
DPF1	yes
DPF3	yes
DZIP1	yes
E4F1	yes
EEA1	yes
EGR1	yes
EGR2	yes
EGR3	yes
EGR4	yes
FAM170A	yes
FEZF1	yes
FEZF2	yes
FIZ1	yes
GFI1	yes
GFI1B	yes
GLI1	yes
GLI2	yes
GLI3	yes
GLI4	yes
GLIS1	yes
GLIS2	yes
GLIS3	yes
GTF3A	yes
GZF1	yes
HIC1	yes
HIC2	yes
HINFP	yes
HIVEP1	yes
HIVEP2	yes
HIVEP3	yes
HKR1	yes
IKZF1	yes
IKZF2	yes
IKZF3	yes
IKZF4	yes
IKZF5	yes
INSM1	yes
INSM2	yes
JAZF1	yes
KAT7	yes
KCMF1	yes
KIN	yes
KLF1	yes
KLF10	yes
KLF11	yes
KLF12	yes
KLF13	yes
KLF14	yes
KLF15	yes
KLF16	yes
KLF17	yes
KLF2	yes
KLF3	yes
KLF4	yes
KLF5	yes
KLF6	yes
KLF7	yes
KLF8	yes
KLF9	yes
L3MBTL1	yes
L3MBTL3	yes
L3MBTL4	yes
MAZ	yes
MECOM	yes
MTF1	yes
MYNN	yes
MYT1	yes
MYT1L	yes
MZF1	yes
OSR1	yes
OSR2	yes
OVOL1	yes
OVOL2	yes
OVOL3	yes
PEG3	yes
PLAG1	yes
PLAGL1	yes
PLAGL2	yes
PRDM1	yes
PRDM10	yes
PRDM12	yes
PRDM13	yes
PRDM14	yes
PRDM15	yes
PRDM16	yes
PRDM2	yes
PRDM4	yes
PRDM5	yes
PRDM6	yes
PRDM8	yes
PRDM9	yes
PRMT3	yes
RBAK	yes
RBSN	yes
REPIN1	yes
REST	yes
RLF	yes
RREB1	yes
SALL1	yes
SALL2	yes
SALL3	yes
SALL4	yes
SCRT1	yes
SCRT2	yes
SLC2A4RG	yes
SNAI1	yes
SNAI2	yes
SNAI3	yes
SP1	yes
SP2	yes
SP3	yes
SP4	yes
SP5	yes
SP6	yes
SP7	yes
SP8	yes
SP9	yes
ST18	yes
TRAFD1	yes
TSHZ1	yes
TSHZ2	yes
TSHZ3	yes
VEZF1	yes
WIZ	yes
WT1	yes
YY1	yes
YY2	yes
ZBTB1	yes
ZBTB10	yes
ZBTB11	yes
ZBTB12	yes
ZBTB14	yes
ZBTB16	yes
ZBTB17	yes
ZBTB18	yes
ZBTB2	yes
ZBTB20	yes
ZBTB21	yes
ZBTB22	yes
ZBTB25	yes
ZBTB26	yes
ZBTB3	yes
ZBTB32	yes
ZBTB33	yes
ZBTB34	yes
ZBTB37	yes
ZBTB38	yes
ZBTB39	yes
ZBTB4	yes
ZBTB40	yes
ZBTB41	yes
ZBTB42	yes
ZBTB43	yes
ZBTB44	yes
ZBTB45	yes
ZBTB46	yes
ZBTB47	yes
ZBTB48	yes
ZBTB49	yes
ZBTB5	yes
ZBTB6	yes
ZBTB7A	yes
ZBTB7B	yes
ZBTB7C	yes
ZBTB8A	yes
ZBTB8B	yes
ZBTB9	yes
ZFAT	yes
ZFP1	yes
ZFP14	yes
ZFP2	yes
ZFP28	yes
ZFP3	yes
ZFP30	yes
ZFP37	yes
ZFP41	yes
ZFP42	yes
ZFP57	yes
ZFP62	yes
ZFP64	yes
ZFP69	yes
ZFP69B	yes
ZFP82	yes
ZFP90	yes
ZFP91	yes
ZFP92	yes
ZFPM1	yes
ZFPM2	yes
ZFX	yes
ZFY	yes
ZIC1	yes
ZIC2	yes
ZIC3	yes
ZIC4	yes
ZIC5	yes
ZIK1	yes
ZIM2	yes
ZIM3	yes
ZKSCAN1	yes
ZKSCAN2	yes
ZKSCAN3	yes
ZKSCAN4	yes
ZKSCAN5	yes
ZKSCAN7	yes
ZKSCAN8	yes
ZMAT1	yes
ZMAT4	yes
ZNF10	yes
ZNF100	yes
ZNF101	yes
ZNF107	yes
ZNF112	yes
ZNF114	yes
ZNF117	yes
ZNF12	yes
ZNF121	yes
ZNF124	yes
ZNF131	yes
ZNF132	yes
ZNF133	yes
ZNF134	yes
ZNF135	yes
ZNF136	yes
ZNF138	yes
ZNF14	yes
ZNF140	yes
ZNF141	yes
ZNF142	yes
ZNF143	yes
ZNF146	yes
ZNF148	yes
ZNF154	yes
ZNF155	yes
ZNF157	yes
ZNF16	yes
ZNF160	yes
ZNF165	yes
ZNF169	yes
ZNF17	yes
ZNF174	yes
ZNF175	yes
ZNF177	yes
ZNF18	yes
ZNF180	yes
ZNF181	yes
ZNF182	yes
ZNF184	yes
ZNF189	yes
ZNF19	yes
ZNF195	yes
ZNF197	yes
ZNF2	yes
ZNF20	yes
ZNF200	yes
ZNF202	yes
ZNF205	yes
ZNF207	yes
ZNF208	yes
ZNF211	yes
ZNF212	yes
ZNF213	yes
ZNF214	yes
ZNF215	yes
ZNF217	yes
ZNF219	yes
ZNF22	yes
ZNF221	yes
ZNF222	yes
ZNF223	yes
ZNF224	yes
ZNF225	yes
ZNF226	yes
ZNF227	yes
ZNF229	yes
ZNF23	yes
ZNF230	yes
ZNF232	yes
ZNF233	yes
ZNF234	yes
ZNF235	yes
ZNF236	yes
ZNF239	yes
ZNF24	yes
ZNF248	yes
ZNF25	yes
ZNF250	yes
ZNF251	yes
ZNF253	yes
ZNF254	yes
ZNF256	yes
ZNF257	yes
ZNF26	yes
ZNF260	yes
ZNF263	yes
ZNF264	yes
ZNF266	yes
ZNF267	yes
ZNF268	yes
ZNF273	yes
ZNF274	yes
ZNF275	yes
ZNF276	yes
ZNF28	yes
ZNF280A	yes
ZNF280B	yes
ZNF280C	yes
ZNF280D	yes
ZNF281	yes
ZNF282	yes
ZNF283	yes
ZNF284	yes
ZNF285	yes
ZNF286A	yes
ZNF286B	yes
ZNF287	yes
ZNF292	yes
ZNF296	yes
ZNF3	yes
ZNF30	yes
ZNF300	yes
ZNF302	yes
ZNF304	yes
ZNF311	yes
ZNF316	yes
ZNF317	yes
ZNF318	yes
ZNF319	yes
ZNF32	yes
ZNF320	yes
ZNF322	yes
ZNF324	yes
ZNF324B	yes
ZNF326	yes
ZNF329	yes
ZNF331	yes
ZNF333	yes
ZNF334	yes
ZNF335	yes
ZNF337	yes
ZNF33A	yes
ZNF33B	yes
ZNF34	yes
ZNF341	yes
ZNF343	yes
ZNF345	yes
ZNF346	yes
ZNF347	yes
ZNF35	yes
ZNF350	yes
ZNF354A	yes
ZNF354B	yes
ZNF354C	yes
ZNF358	yes
ZNF362	yes
ZNF365	yes
ZNF366	yes
ZNF367	yes
ZNF37A	yes
ZNF382	yes
ZNF383	yes
ZNF384	yes
ZNF385A	yes
ZNF385B	yes
ZNF385C	yes
ZNF385D	yes
ZNF391	yes
ZNF394	yes
ZNF395	yes
ZNF396	yes
ZNF397	yes
ZNF398	yes
ZNF404	yes
ZNF407	yes
ZNF408	yes
ZNF41	yes
ZNF410	yes
ZNF414	yes
ZNF415	yes
ZNF416	yes
ZNF417	yes
ZNF418	yes
ZNF419	yes
ZNF420	yes
ZNF423	yes
ZNF425	yes
ZNF426	yes
ZNF428	yes
ZNF429	yes
ZNF43	yes
ZNF430	yes
ZNF431	yes
ZNF432	yes
ZNF433	yes
ZNF436	yes
ZNF438	yes
ZNF439	yes
ZNF44	yes
ZNF440	yes
ZNF441	yes
ZNF442	yes
ZNF443	yes
ZNF444	yes
ZNF445	yes
ZNF446	yes
ZNF449	yes
ZNF45	yes
ZNF451	yes
ZNF454	yes
ZNF460	yes
ZNF461	yes
ZNF462	yes
ZNF467	yes
ZNF468	yes
ZNF469	yes
ZNF470	yes
ZNF471	yes
ZNF473	yes
ZNF474	yes
ZNF479	yes
ZNF48	yes
ZNF480	yes
ZNF483	yes
ZNF484	yes
ZNF485	yes
ZNF486	yes
ZNF487	yes
ZNF488	yes
ZNF490	yes
ZNF491	yes
ZNF492	yes
ZNF493	yes
ZNF496	yes
ZNF497	yes
ZNF500	yes
ZNF501	yes
ZNF502	yes
ZNF503	yes
ZNF506	yes
ZNF507	yes
ZNF510	yes
ZNF511	yes
ZNF512B	yes
ZNF513	yes
ZNF514	yes
ZNF516	yes
ZNF517	yes
ZNF518A	yes
ZNF518B	yes
ZNF519	yes
ZNF521	yes
ZNF525	yes
ZNF526	yes
ZNF527	yes
ZNF528	yes
ZNF529	yes
ZNF530	yes
ZNF532	yes
ZNF534	yes
ZNF536	yes
ZNF540	yes
ZNF543	yes
ZNF544	yes
ZNF546	yes
ZNF547	yes
ZNF548	yes
ZNF549	yes
ZNF550	yes
ZNF551	yes
ZNF552	yes
ZNF554	yes
ZNF555	yes
ZNF556	yes
ZNF557	yes
ZNF558	yes
ZNF559	yes
ZNF560	yes
ZNF561	yes
ZNF562	yes
ZNF563	yes
ZNF564	yes
ZNF565	yes
ZNF566	yes
ZNF567	yes
ZNF568	yes
ZNF569	yes
ZNF57	yes
ZNF570	yes
ZNF571	yes
ZNF572	yes
ZNF573	yes
ZNF574	yes
ZNF575	yes
ZNF576	yes
ZNF577	yes
ZNF578	yes
ZNF579	yes
ZNF580	yes
ZNF581	yes
ZNF582	yes
ZNF583	yes
ZNF584	yes
ZNF585A	yes
ZNF585B	yes
ZNF586	yes
ZNF587	yes
ZNF587B	yes
ZNF589	yes
ZNF592	yes
ZNF594	yes
ZNF595	yes
ZNF596	yes
ZNF597	yes
ZNF598	yes
ZNF599	yes
ZNF600	yes
ZNF605	yes
ZNF606	yes
ZNF607	yes
ZNF608	yes
ZNF609	yes
ZNF610	yes
ZNF611	yes
ZNF613	yes
ZNF614	yes
ZNF615	yes
ZNF616	yes
ZNF618	yes
ZNF619	yes
ZNF620	yes
ZNF621	yes
ZNF623	yes
ZNF624	yes
ZNF625	yes
ZNF626	yes
ZNF627	yes
ZNF628	yes
ZNF629	yes
ZNF630	yes
ZNF639	yes
ZNF641	yes
ZNF644	yes
ZNF645	yes
ZNF646	yes
ZNF648	yes
ZNF649	yes
ZNF652	yes
ZNF654	yes
ZNF655	yes
ZNF658	yes
ZNF66	yes
ZNF660	yes
ZNF662	yes
ZNF664	yes
ZNF665	yes
ZNF667	yes
ZNF668	yes
ZNF669	yes
ZNF670	yes
ZNF671	yes
ZNF672	yes
ZNF674	yes
