cell_line	type	subtype	sample_id	cluster
SEM median	preB	KMT2A.AFF1	Set1_tmt10plex_126	1
REH	preB	ETV6.RUNX1	Set1_tmt10plex_127N	2
CCRF-CEM	T-ALL	SIL.SCL	Set1_tmt10plex_127C	3
697 (EU-3)	preB	TCF3.PBX1	Set1_tmt10plex_128N	2
P12-ICHIKAWA	T-ALL	LMO2	Set1_tmt10plex_128C	3
P30-OHKUBO	preB	MEF2D.HNRNPUL1	Set1_tmt10plex_129N	4
CCRF-SB	EBV	EBV	Set1_tmt10plex_129C	5
NALM-16	preB	BUB1B+	Set1_tmt10plex_130N	4
MOLT-3 (sister MOLT-4)	T-ALL	CERS2+/IL32+	Set1_tmt10plex_130C	3
KASUMI-9 Replicate 2	preB	MEF2D.HNRNPUL1	Set10_tmt10plex_127N	4
COG-LL-319h Replicate 2	preB	TCF3.PBX1	Set10_tmt10plex_127C	2
HPB-ALL Replicate 2	T-ALL	BCL11B.TLX3	Set10_tmt10plex_128N	3
KARPAS-45 Replicate 2	T-ALL	KMT2A.FOXO4	Set10_tmt10plex_128C	3
TMD5 Replicate 2	preB	BCR.ABL1	Set10_tmt10plex_129N	1
MHH-CALL-2 Replicate 2	preB	PTMA.TMSB4X	Set10_tmt10plex_129C	4
HAL-01 Replicate 2	preB	TCF3.HLF	Set10_tmt10plex_130N	2
COG-LL-332h Replicate 2	T-ALL	SFPQ.ABL1	Set10_tmt10plex_130C	3
JURKAT	T-ALL	Unknown	Set2_tmt10plex_127N	3
KASUMI-2	preB	TCF3.PBX1	Set2_tmt10plex_127C	2
TANOUE	B-ALL	IGH.MYC	Set2_tmt10plex_128N	6
NALM-6	preB	ETV6.PDGFRB	Set2_tmt10plex_128C	2
MOLT-4 (sister MOLT-3)	T-ALL	CERS2+/IL32+	Set2_tmt10plex_129N	3
MHH-CALL-3	preB	TCF3.PBX1	Set2_tmt10plex_129C	2
ALL-SIL	T-ALL	NUP214.ABL1	Set2_tmt10plex_130N	3
SUP-B15	preB	BCR.ABL1	Set2_tmt10plex_130C	2
MHH-CALL-2	preB	PTMA.TMSB4X	Set3_tmt10plex_127N	4
MOLT-16 (sister MOLT-17)	T-ALL	TRA.MYC	Set3_tmt10plex_127C	7
COG-LL-356h	EBV	EBV	Set3_tmt10plex_128N	5
PEER	T-ALL	NUP214.ABL1	Set3_tmt10plex_128C	7
LC4-1	preB	MEF2D.HNRNPUL1	Set3_tmt10plex_129N	4
KOPN-8	preB	KMT2A.MLLT1	Set3_tmt10plex_129C	4
PF-382	T-ALL	Hypodiploid.LMO2	Set3_tmt10plex_130N	3
