Cell.Line.R	hierarCluster_pearson_ward.D2_all	hierarCluster_pearson_ward.D2_B	hierarCluster_pearson_ward.D2_T
__POOL__	NA	NA	NA
A3	3	NA	2
ALL.PO	1	1	NA
ALL.PO.BR2	1	1	NA
ALL.SIL	3	NA	3
ALL.SIL.BR2	3	NA	3
BE.13	7	NA	5
CCRF.CEM	3	NA	1
CCRF.CEM.BR2	3	NA	1
CCRF.HSB2	7	NA	7
CCRF.SB	5	NA	NA
CCRF.SB.BR2	5	NA	NA
COG.317	3	NA	1
COG.319	2	2	NA
COG.319.BR2	2	2	NA
COG.332	3	NA	1
COG.332.BR2	3	NA	1
COG.355h	1	5	NA
COG.355h.BR2	1	5	NA
COG.356h	5	NA	NA
COG.356h.BR2	5	NA	NA
COG.394	1	5	NA
COG.402	2	2	NA
DND.41	3	NA	3
DND.41.BR2	3	NA	3
HAL.01	2	2	NA
HAL.01.BR2	2	2	NA
HPB.ALL	3	NA	3
HPB.ALL.BR2	3	NA	3
JURKAT	3	NA	2
KARPAS.45	3	NA	2
KARPAS.45.BR2	3	NA	2
KASUMI.10	1	5	NA
KASUMI.2	2	2	NA
KASUMI.2.BR2	2	2	NA
KASUMI.9	4	3	NA
KASUMI.9.BR2	4	3	NA
KOPN.8	4	3	NA
KOPN.8.BR2	4	3	NA
LC4.1	4	3	NA
LC4.1.BR2	4	3	NA
MHH.CALL.2	4	3	NA
MHH.CALL.2.BR2	4	3	NA
MHH.CALL.3	2	2	NA
MHH.CALL.4	1	5	NA
MHH.CALL.4.BR2	1	5	NA
MN.60	6	4	NA
MN.60.BR2	6	4	NA
MOLT.13	3	NA	6
MOLT.14	3	NA	6
MOLT.16	7	NA	4
MOLT.17	7	NA	4
MOLT.3	3	NA	1
MOLT.4	3	NA	1
NALL.1	1	1	NA
NALL.1.BR2	1	1	NA
NALM.16	4	3	NA
NALM.6	2	2	NA
P12.ICHIKAWA	3	NA	1
P12.ICHIKAWA.BR2	3	NA	1
P30.OHKUBO	4	3	NA
P30.OHKUBO.BR2	4	3	NA
PEER	7	NA	5
PEER.BR2	7	NA	5
PF.382	3	NA	1
PF.382.BR2	3	NA	1
RCH.ACV	2	2	NA
RCH.ACV.BR2	2	2	NA
REH	2	2	NA
REH.BR2	2	2	NA
RPMI.8402	3	NA	1
SEM	1	1	NA
SEM.BR.NOPS	NA	NA	NA
SEM.BR2	1	1	NA
SUP.B15	2	2	NA
SUP.B15.BR2	2	2	NA
TALL.104	7	NA	7
TANOUE	6	4	NA
TANOUE.BR2	6	4	NA
TMD5	1	5	NA
TMD5.BR2	1	5	NA
X.380	1	5	NA
X.697	2	2	NA
X.697.BR2	2	2	NA
KASUMI.7	NA	NA	NA
