Subtype	Type	Tissue	LC-MS/MS-Replicate	RNAseq	RNAseq-replicate	DSRT	Subtype
KASUMI-2	BCP-ALL	BM	TRUE	TRUE	TRUE	TRUE	TCF3-PBX1
MHH-CALL-3	BCP-ALL	BM	FALSE	TRUE	FALSE	TRUE	TCF3-PBX1
RCH-ACV	BCP-ALL	BM	TRUE	TRUE	TRUE	TRUE	TCF3-PBX1
697	BCP-ALL	BM	TRUE	TRUE	TRUE	TRUE	TCF3-PBX1
COG-LL-319h	BCP-ALL	BM	TRUE	TRUE	TRUE	TRUE	TCF3-PBX1
COG-LL-402h	BCP-ALL	BM	FALSE	TRUE	FALSE	TRUE	TCF3-PBX1
KASUMI-9	BCP-ALL	PB	TRUE	TRUE	TRUE	TRUE	MEF2D-HNRNPUL1
LC4-1	BCP-ALL	PB	TRUE	TRUE	TRUE	TRUE	MEF2D-HNRNPUL1
P30-OHKUBO	BCP-ALL	BM	TRUE	TRUE	TRUE	TRUE	MEF2D-HNRNPUL1
ALL-PO	BCP-ALL	BM	TRUE	TRUE	TRUE	TRUE	KMT2A-AFF1
SEM	BCP-ALL	PB	TRUE	TRUE	TRUE	TRUE	KMT2A-AFF1
KASUMI-10	BCP-ALL	PB	FALSE	TRUE	FALSE	TRUE	KMT2A-MLLT1
KOPN-8	BCP-ALL	PB	TRUE	TRUE	TRUE	TRUE	KMT2A-MLLT1
COG-LL-355h	BCP-ALL	BM	TRUE	TRUE	TRUE	TRUE	ETV6-RUNX1
REH	BCP-ALL	PB	TRUE	TRUE	TRUE	TRUE	ETV6-RUNX1
SUP-B15	BCP-ALL	BM	TRUE	TRUE	TRUE	TRUE	BCR-ABL1
TMD5	BCP-ALL	PB	TRUE	TRUE	TRUE	TRUE	BCR-ABL1
COG-LL-394h	BCP-ALL	BM	FALSE	TRUE	FALSE	TRUE	ABL1-ZMIZ1
NALL-1	BCP-ALL	PB	TRUE	TRUE	TRUE	TRUE	PAX5-ETV6
NALM-16	BCP-ALL	PB	FALSE	TRUE	FALSE	TRUE	B-Other
NALM-6	BCP-ALL	PB	FALSE	TRUE	FALSE	TRUE	B-Other
MHH-CALL-4	BCP-ALL	PB	TRUE	TRUE	FALSE	TRUE	B-Other
MHH-CALL-2	BCP-ALL	PB	TRUE	TRUE	FALSE	TRUE	B-Other
HAL-01	BCP-ALL	PB	TRUE	TRUE	FALSE	TRUE	B-Other
380	BCP-ALL	PB	FALSE	TRUE	FALSE	TRUE	IGH-MYC
MN-60	B-ALL	PB	TRUE	TRUE	FALSE	TRUE	IGH-MYC
TANOUE	B-ALL	PB	TRUE	TRUE	FALSE	TRUE	IGH-MYC
CCRF-SB	EBV	PB	TRUE	TRUE	FALSE	FALSE	EBV
COG-LL-356h	EBV	BM	TRUE	TRUE	FALSE	FALSE	EBV
ALL-SIL	T-ALL	BM	TRUE	TRUE	FALSE	TRUE	NUP214-ABL1
BE-13	T-ALL	BM	FALSE	TRUE	FALSE	FALSE	NUP214-ABL1
PEER	T-ALL	BM	TRUE	TRUE	FALSE	TRUE	NUP214-ABL1
TALL-104	T-ALL	PB	FALSE	TRUE	FALSE	FALSE	NUP214-ABL1
DND-41	T-ALL	PB	TRUE	TRUE	FALSE	TRUE	BCL11B-TLX3
HPB-ALL	T-ALL	PB	TRUE	TRUE	FALSE	TRUE	BCL11B-TLX3
KARPAS-45	T-ALL	BM	TRUE	TRUE	FALSE	TRUE	T-Other
CCRF-CEM	T-ALL	PB	TRUE	TRUE	FALSE	TRUE	T-Other
COG-LL-332h	T-ALL	BM	TRUE	TRUE	FALSE	TRUE	T-Other
COG-LL-317	T-ALL	BM	FALSE	TRUE	FALSE	TRUE	T-Other
MOLT-16	T-ALL	PB	FALSE	TRUE	FALSE	TRUE	T-Other
MOLT-17	T-ALL	PB	FALSE	TRUE	FALSE	FALSE	T-Other
MOLT-13	T-ALL	BM	FALSE	TRUE	FALSE	FALSE	T-Other
MOLT-14	T-ALL	BM	FALSE	TRUE	FALSE	TRUE	T-Other
CCRF-HSB2	T-ALL	PB	FALSE	TRUE	FALSE	TRUE	T-Other
P12-ICHIKAWA	T-ALL	PB	TRUE	TRUE	FALSE	TRUE	T-Other
PF-382	T-ALL	PE	TRUE	TRUE	FALSE	TRUE	T-Other
RPMI-8402	T-ALL	BM	FALSE	TRUE	FALSE	TRUE	T-Other
JURKAT	T-ALL	PB	FALSE	TRUE	FALSE	TRUE	T-Other
A3	T-ALL	PB	FALSE	TRUE	FALSE	FALSE	T-Other
MOLT-3	T-ALL	PB	FALSE	TRUE	FALSE	FALSE	T-Other
MOLT-4	T-ALL	PB	FALSE	TRUE	FALSE	TRUE	T-Other
