Row	Gene	Uniprot	nrLocations	Type	LocationNumber	LOCATION	Reliability	HPAbin	SCtype	SCneigh	SC_ClassCount	SCvalid
1	ABCA13	Q86UQ4	3	MultiLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	3_Cytosol	1	FALSE
4	ABCB4	P21439	4	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
8	ABCG1	P45844	2	MultiLoc	FirstLoc	B_Golgi apparatus	2_Supported	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
10	ACE	P12821	1	SingleLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
11	ACHE	P22303	2	MultiLoc	FirstLoc	B_Golgi apparatus	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
13	ACKR3	P25106	2	MultiLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
15	ACOX2	Q99424	2	MultiLoc	FirstLoc	A_Vesicles	2_Supported	1_Secretory	SingleCLclass	4_Mitochondria	1	FALSE
17	ACP5	P13686	1	SingleLoc	FirstLoc	N_Cytosol	3_Approved	3_Cytosol	SingleCLclass	2_Nucleus	1	FALSE
18	ACTL8	Q9H568	1	SingleLoc	FirstLoc	N_Cytosol	3_Approved	3_Cytosol	SingleCLclass	2_Nucleus	1	FALSE
19	ADAMTS1	Q9UHI8	1	SingleLoc	FirstLoc	N_Cytosol	1_Validated	3_Cytosol	SingleCLclass	1_Secretory	1	FALSE
20	ADAMTS15	Q8TE58	1	SingleLoc	FirstLoc	N_Cytosol	3_Approved	3_Cytosol	SingleCLclass	1_Secretory	1	FALSE
21	ADAMTS19	Q8TE59	2	MultiLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
23	ADAMTS4	O75173	1	SingleLoc	FirstLoc	I_Nuclear speckles	3_Approved	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
24	ADAMTS5	Q9UNA0	1	SingleLoc	FirstLoc	G_Nucleoplasm	2_Supported	2_Nucleus	SingleCLclass	1_Secretory	1	FALSE
25	ADAMTSL3	P82987	1	SingleLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	1_Secretory	1	TRUE
26	ADCY1	Q08828	1	SingleLoc	FirstLoc	ZZZZ_Mitochondria	3_Approved	4_Mitochondria	SingleCLclass	1_Secretory	1	FALSE
27	ADCY5	O95622	1	SingleLoc	FirstLoc	Q_Intermediate filaments	4_Uncertain	3_Cytosol	SingleCLclass	1_Secretory	1	FALSE
28	ADH7	P40394	2	MultiLoc	FirstLoc	N_Cytosol	2_Supported	3_Cytosol	SingleCLclass	3_Cytosol	1	TRUE
30	ADHFE1	Q8IWW8	1	SingleLoc	FirstLoc	A_Vesicles	3_Approved	1_Secretory	SingleCLclass	4_Mitochondria	1	FALSE
31	ADORA2B	P29275	1	SingleLoc	FirstLoc	N_Cytosol	4_Uncertain	3_Cytosol	SingleCLclass	1_Secretory	1	FALSE
32	AEBP1	Q8IUX7	3	MultiLoc	FirstLoc	G_Nucleoplasm	3_Approved	2_Nucleus	SingleCLclass	3_Cytosol	1	FALSE
